,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
145,Comedy, Drama,,Won 1 Oscar. Another 4 wins & 11 nominations.,1,4,11,16,N/A,"83,328"
146,Crime, Drama,,Nominated for 1 Oscar. Another 3 wins & 9 nominations.,1,3,9,13,73,"360,941"
147,Biography, Drama,,Won 4 Oscars. Another 33 wins & 65 nominations.,4,33,65,102,72,"667,901"
148,Action, Drama, Sci-Fi,1 win & 2 nominations.,1,2,,3,77,"316,354"
149,Biography, Drama,,Nominated for 8 Oscars. Another 10 wins & 14 nominations.,8,10,14,32,N/A,"174,583"
150,Biography, Drama, History,3 wins.,3,,,3,N/A,"26,621"
151,Drama, Romance,,Nominated for 1 Oscar. Another 16 wins & 2 nominations.,1,16,2,19,N/A,"68,660"
152,Action, Drama, Thriller,7 wins & 27 nominations.,7,27,,34,62,"849,623"
153,Action, Adventure, Comedy,2 wins & 1 nomination.,2,1,,3,N/A,"58,327"
154,Biography, Comedy, Crime,Nominated for 5 Oscars. Another 38 wins & 165 nominations.,5,38,165,208,75,"874,371"
155,Action, Drama, Sport,Nominated for 1 Oscar. Another 6 wins & 20 nominations.,1,6,20,27,71,"358,261"
156,Crime, Drama, Thriller,2 wins.,2,,,2,N/A,"41,769"
157,Drama,,,Nominated for 1 Oscar. Another 23 wins & 32 nominations.,1,23,32,56,83,"517,568"
158,Drama, Romance,,Won 3 Oscars. Another 2 wins & 2 nominations.,3,2,2,7,N/A,"32,667"
159,Crime, Film-Noir, Thriller,Nominated for 1 BAFTA Film Award. Another 3 wins & 2 nominations.,1,3,2,6,N/A,"116,207"
160,Drama,,,Nominated for 1 Golden Globe. Another 20 wins & 17 nominations.,1,20,17,38,72,"598,907"
161,Drama, War,,Won 5 Oscars. Another 17 wins & 26 nominations.,5,17,26,48,81,"249,067"
162,Biography, Drama, History,Won 2 Oscars. Another 37 wins & 95 nominations.,2,37,95,134,71,"221,901"
163,Drama, History, Romance,Won 8 Oscars. Another 10 wins & 9 nominations.,8,10,9,27,97,"230,951"
164,Crime, Drama, Thriller,Won 2 Oscars. Another 79 wins & 59 nominations.,2,79,59,140,85,"490,860"
165,Comedy, Crime,,4 wins & 17 nominations.,4,17,,21,69,"580,796"
166,Drama, Mystery, Thriller,Nominated for 6 Oscars. Another 32 wins & 47 nominations.,6,32,47,85,64,"754,842"
167,Horror, Mystery, Sci-Fi,3 nominations.,3,,,3,57,"281,843"
168,Animation, Adventure, Comedy,Won 1 Oscar. Another 49 wins & 64 nominations.,1,49,64,114,90,"756,517"
169,Drama,,,3 wins.,3,,,3,N/A,"31,364"
170,Crime, Drama, Thriller,Won 4 Oscars. Another 156 wins & 132 nominations.,4,156,132,292,91,"666,081"
171,Comedy, Drama, History,Nominated for 1 BAFTA Film Award. Another 17 wins & 19 nominations.,1,17,19,37,N/A,"81,768"
172,Biography, Drama, History,2 wins & 1 nomination.,2,1,,3,N/A,"29,440"
173,Crime, Drama,,Won 1 Oscar. Another 3 wins & 9 nominations.,1,3,9,13,N/A,"128,345"
174,Drama, Mystery, Romance,Won 2 Oscars. Another 4 wins & 10 nominations.,2,4,10,16,N/A,"94,586"
175,Crime, Drama, Mystery,7 wins & 20 nominations.,7,20,,27,N/A,"52,217"
176,Drama, History,,Won 2 Oscars. Another 106 wins & 135 nominations.,2,106,135,243,92,"402,281"
177,Animation, Action, Adventure,Nominated for 2 Oscars. Another 26 wins & 61 nominations.,2,26,61,89,74,"528,657"
178,Action, Crime, Thriller,Nominated for 1 Golden Globe. Another 27 wins & 99 nominations.,1,27,99,127,69,"791,579"
179,Drama, War,,2 wins.,2,,,2,N/A,"30,443"
180,Animation, Comedy, Drama,4 wins & 9 nominations.,,9,,9,N/A,"129,873"
181,Crime, Drama, Mystery,Nominated for 1 Oscar. Another 64 wins & 176 nominations.,1,64,176,241,79,"640,332"
182,Adventure, Biography, Drama,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,2,23,99,124,73,"461,312"
